year,mean,unc,,,
,,,,,
1998,4.21,0.00,,,
1999,4.38,0.00,,,
2000,4.58,0.00,,,
2001,4.78,0.00,,,
2002,4.98,0.00,,,
2003,5.23,0.00,,,
2004,5.45,0.00,,,
2005,5.67,0.00,,,
2006,5.91,0.00,,,
2007,6.18,0.00,,,
2008,6.46,0.00,,,
2009,6.75,0.00,,,
2010,7.04,0.00,,,
2011,7.30,0.00,,,
2012,7.60,0.00,,,
2013,7.91,0.00,,,
2014,8.25,0.00,,,
2015,8.58,0.00,,,
2016,8.91,0.00,,,
2017,9.26,0.00,,,
2018,9.60,0.01,,,
2019,9.94,0.01,,,
2020,10.26,0.01,,,
2021,10.63,0.01,,,
2022,11.02,0.01,,,
2023,11.40,0.01,,,
